outcode,county
DN14,Yorkshire
DN15,Lincolnshire
DN16,Lincolnshire
DN17,Lincolnshire
DN18,Lincolnshire
DN19,Lincolnshire
DN2,Yorkshire
DN20,Lincolnshire
DN21,Lincolnshire
DN22,Nottinghamshire
DN3,Yorkshire
DN31,Lincolnshire
DN32,Lincolnshire
DN33,Lincolnshire
DN34,Lincolnshire
DN35,Lincolnshire
DN36,Lincolnshire
DN37,Lincolnshire
DN38,Lincolnshire
DN39,Lincolnshire
DN4,Yorkshire
DN40,Lincolnshire
DN41,Lincolnshire
DN5,Yorkshire
DN6,Yorkshire
DN7,Yorkshire
DN8,Yorkshire
DN9,Lincolnshire
DT1,Dorset
DT10,Dorset
DT11,Dorset
DT2,Dorset
DT3,Dorset
DT4,Dorset
DT5,Dorset
DT6,Dorset
DT7,Dorset
DT8,Dorset
DT9,Dorset
DY1,Staffordshire
DY10,Worcestershire
DY11,Worcestershire
DY12,Shropshire
DY13,Worcestershire
DY14,Shropshire
DY2,Staffordshire
DY3,Staffordshire
DY4,Staffordshire
DY5,Staffordshire
DY6,Staffordshire
DY7,Staffordshire
DY8,Worcestershire
DY9,Worcestershire
E1,Middlesex
E10,Essex
E11,Essex
E12,Essex
E13,Essex
E14,Middlesex
E15,Essex
E16,Essex
E17,Essex
E18,Essex
E1W,Middlesex
E2,Middlesex
E20,Essex
E22,Middlesex
E3,Middlesex
E4,Essex
E5,Middlesex
E6,Essex
E7,Essex
E8,Middlesex
E9,Middlesex
E98,Middlesex
EC1A,Middlesex
EC1M,Middlesex
EC1N,Middlesex
EC1P,Middlesex
EC1R,Middlesex
EC1V,Middlesex
EC1Y,Middlesex
EC2A,Middlesex
EC2M,Middlesex
EC2N,Middlesex
EC2P,Middlesex
EC2R,Middlesex
EC2V,Middlesex
EC2Y,Middlesex
EC3A,Middlesex
EC3M,Middlesex
EC3N,Middlesex
EC3P,Middlesex
EC3R,Middlesex
EC3V,Middlesex
EC4A,Middlesex
EC4M,Middlesex
EC4N,Middlesex
EC4P,Middlesex
EC4R,Middlesex
EC4V,Middlesex
EC4Y,Middlesex
EH1,Midlothian
EH10,Midlothian
EH11,Midlothian
EH12,Midlothian
EH13,Midlothian
EH14,Midlothian
EH15,Midlothian
EH16,Midlothian
EH17,Midlothian
EH18,Midlothian
EH19,Midlothian
EH2,Midlothian
EH20,Midlothian
EH21,Midlothian
EH22,Midlothian
EH23,Midlothian
EH24,Midlothian
EH25,Midlothian
EH26,Midlothian
EH27,Midlothian
EH28,Midlothian
EH29,West Lothian
EH3,Midlothian
EH30,West Lothian
EH31,East Lothian
EH32,East Lothian
EH33,East Lothian
EH34,East Lothian
EH35,East Lothian
EH36,East Lothian
EH37,Midlothian
EH38,Midlothian
EH39,East Lothian
EH4,Midlothian
EH40,East Lothian
EH41,East Lothian
EH42,East Lothian
EH43,Peeblesshire
EH44,Peeblesshire
EH45,Peeblesshire
